City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Madurai,Adventure Sports,"34, Beachside Promenade, Madurai",December to March,14847
Chandigarh,Museum Visit,"75, Beachside Promenade, Chandigarh",October to March,1981
Pondicherry,Food Tasting,"13, Main Street, Pondicherry",November to February,2611
Jaipur,River Rafting,"137, Hill View Road, Jaipur",September to February,9083
Indore,Food Tasting,"17, Cultural District, Indore",October to March,2806
Pune,Museum Visit,"106, Market Road, Pune",November to February,1257
Madurai,Cultural Tour,"71, Temple Road, Madurai",December to March,3829
Delhi,Wildlife Safari,"56, Garden Street, Delhi",October to March,7451
Bhubaneswar,Museum Visit,"66, Heritage Lane, Bhubaneswar",October to February,1936
Goa,Museum Visit,"30, Main Street, Goa",October to March,2471
Leh,Trekking,"145, Lake Side, Leh",October to March,7133
Kolkata,Historical Tour,"73, Central Plaza, Kolkata",November to March,5927
Puri,Historical Tour,"65, Beachside Promenade, Puri",November to March,5099
Kolkata,River Rafting,"95, Market Road, Kolkata",October to February,11745
Manali,Food Tasting,"2, Beachside Promenade, Manali",October to March,2517
Port Blair,Beach Visit,"146, Garden Street, Port Blair",November to April,4053
Thiruvananthapuram,Beach Visit,"36, Temple Road, Thiruvananthapuram",November to February,4514
Jodhpur,Shopping,"74, Main Street, Jodhpur",November to February,3885
Kolkata,River Rafting,"19, Cultural District, Kolkata",October to February,8738
Ranchi,Beach Visit,"64, Central Plaza, Ranchi",October to February,5165
Hyderabad,Beach Visit,"74, Beachside Promenade, Hyderabad",December to March,5200
Mysore,River Rafting,"138, Central Plaza, Mysore",December to March,8119
Thiruvananthapuram,Food Tasting,"113, Garden Street, Thiruvananthapuram",November to February,3063
Kavaratti,Temple Visit,"103, Old Town, Kavaratti",December to March,2555
Agartala,Food Tasting,"79, Hill View Road, Agartala",October to February,1785
Pune,Sightseeing,"137, Riverfront Area, Pune",November to February,5577
Surat,Historical Tour,"48, Main Street, Surat",October to March,7104
Puri,Museum Visit,"139, Beachside Promenade, Puri",October to February,2000
Diu,Sightseeing,"133, Lake Side, Diu",November to April,3846
Coimbatore,Shopping,"43, Beachside Promenade, Coimbatore",November to February,4136
Shillong,Museum Visit,"70, Riverfront Area, Shillong",November to March,1376
Ahmedabad,Sightseeing,"101, Hill View Road, Ahmedabad",November to February,6610
Goa,River Rafting,"119, Garden Street, Goa",October to March,11877
Kavaratti,Trekking,"122, Riverfront Area, Kavaratti",December to March,8561
Agartala,Cultural Tour,"46, Main Street, Agartala",October to February,5888
Thiruvananthapuram,Sightseeing,"95, Riverfront Area, Thiruvananthapuram",November to February,6162
Udaipur,Trekking,"38, Main Street, Udaipur",November to February,6829
Chandigarh,Museum Visit,"5, Lake Side, Chandigarh",September to February,1740
Port Blair,Sightseeing,"131, Market Road, Port Blair",November to April,5847
Imphal,Cultural Tour,"140, Temple Road, Imphal",November to March,7319
Coimbatore,Cultural Tour,"3, Main Street, Coimbatore",November to February,7270
Bengaluru,Wildlife Safari,"126, Main Street, Bengaluru",December to March,6298
Manali,Food Tasting,"37, Heritage Lane, Manali",September to February,2750
Mysore,Shopping,"17, Beachside Promenade, Mysore",November to February,2932
Daman,Adventure Sports,"144, Lake Side, Daman",November to April,10112
Daman,Shopping,"2, Heritage Lane, Daman",November to April,4078
Daman,Historical Tour,"25, Hill View Road, Daman",December to March,5993
Pune,Cultural Tour,"111, Central Plaza, Pune",November to February,4416
Hyderabad,Food Tasting,"86, Heritage Lane, Hyderabad",December to March,3964
Darjeeling,Cultural Tour,"149, Lake Side, Darjeeling",October to February,6722
Jaipur,Cultural Tour,"124, Riverfront Area, Jaipur",October to March,7994
Daman,Food Tasting,"139, Garden Street, Daman",November to April,2828
Puri,River Rafting,"35, Riverfront Area, Puri",October to February,9177
Mumbai,Sightseeing,"29, Lake Side, Mumbai",October to March,5598
Jaipur,Museum Visit,"108, Lake Side, Jaipur",October to March,1761
Udaipur,Food Tasting,"7, Temple Road, Udaipur",October to March,3304
Shimla,Sightseeing,"109, Garden Street, Shimla",October to March,5595
Kochi,Beach Visit,"33, Lake Side, Kochi",December to March,3930
Kolkata,Shopping,"135, Riverfront Area, Kolkata",November to March,2061
Rishikesh,Food Tasting,"24, Heritage Lane, Rishikesh",September to February,3921
Chennai,Cultural Tour,"22, Lake Side, Chennai",November to February,5383
Leh,River Rafting,"88, Central Plaza, Leh",September to February,10915
Shimla,Historical Tour,"100, Lake Side, Shimla",October to March,5634
Vijayawada,River Rafting,"40, Riverfront Area, Vijayawada",December to March,11354
Coimbatore,Sightseeing,"75, Old Town, Coimbatore",November to February,5960
Daman,Beach Visit,"100, Temple Road, Daman",November to April,4629
Chennai,Food Tasting,"25, Hill View Road, Chennai",November to February,1854
Amritsar,River Rafting,"42, Garden Street, Amritsar",October to March,10853
Coimbatore,Shopping,"61, Temple Road, Coimbatore",December to March,4854
Lakshadweep,Sightseeing,"46, Central Plaza, Lakshadweep",December to March,3884
Patna,Sightseeing,"31, Hill View Road, Patna",October to February,3710
Ahmedabad,Shopping,"31, Hill View Road, Ahmedabad",November to February,4491
Lakshadweep,Shopping,"36, Lake Side, Lakshadweep",December to March,4305
Udaipur,River Rafting,"68, Riverfront Area, Udaipur",November to February,10344
Mumbai,Cultural Tour,"21, Market Road, Mumbai",November to February,4807
Delhi,Adventure Sports,"95, Main Street, Delhi",September to February,10331
Pondicherry,Museum Visit,"10, Heritage Lane, Pondicherry",November to February,1947
Pune,Shopping,"27, Main Street, Pune",October to March,2982
Agartala,Food Tasting,"58, Hill View Road, Agartala",November to March,2066
Bengaluru,Food Tasting,"24, Lake Side, Bengaluru",November to February,1912
Agra,Food Tasting,"77, Main Street, Agra",October to March,2822
Puri,Sightseeing,"123, Garden Street, Puri",October to February,5788
Thiruvananthapuram,Historical Tour,"103, Hill View Road, Thiruvananthapuram",November to February,3883
Patna,Cultural Tour,"86, Beachside Promenade, Patna",November to March,3605
Jodhpur,Food Tasting,"62, Heritage Lane, Jodhpur",October to March,2722
Nagpur,Cultural Tour,"96, Market Road, Nagpur",November to February,6360
Diu,Temple Visit,"31, Riverfront Area, Diu",December to March,2088
Kavaratti,Food Tasting,"79, Heritage Lane, Kavaratti",December to March,3524
Varanasi,Beach Visit,"40, Riverfront Area, Varanasi",October to March,5572
Varanasi,Historical Tour,"97, Hill View Road, Varanasi",October to March,3723
Ranchi,Beach Visit,"109, Garden Street, Ranchi",October to February,2627
Varanasi,Historical Tour,"20, Hill View Road, Varanasi",October to March,7096
Indore,Beach Visit,"125, Market Road, Indore",October to March,5989
Port Blair,Temple Visit,"101, Cultural District, Port Blair",November to April,2975
Agartala,Beach Visit,"34, Heritage Lane, Agartala",November to March,5966
Delhi,Shopping,"12, Lake Side, Delhi",October to March,2909
Ahmedabad,Trekking,"141, Hill View Road, Ahmedabad",October to March,4870
Goa,Beach Visit,"7, Temple Road, Goa",October to March,2731
Pune,Sightseeing,"148, Hill View Road, Pune",October to March,3161
Nagpur,Shopping,"34, Main Street, Nagpur",October to March,4523
Darjeeling,River Rafting,"131, Central Plaza, Darjeeling",November to March,9768
Daman,Trekking,"3, Market Road, Daman",December to March,4116
Chandigarh,Beach Visit,"59, Beachside Promenade, Chandigarh",September to February,5265
Manali,Sightseeing,"124, Heritage Lane, Manali",September to February,5875
Kochi,Temple Visit,"14, Central Plaza, Kochi",December to March,2079
Indore,Food Tasting,"71, Market Road, Indore",October to March,3908
Amritsar,Temple Visit,"65, Market Road, Amritsar",September to February,1317
Indore,Trekking,"115, Lake Side, Indore",November to February,8019
Surat,Food Tasting,"61, Heritage Lane, Surat",October to March,3922
Ranchi,Trekking,"126, Lake Side, Ranchi",October to February,8503
Surat,Shopping,"148, Main Street, Surat",October to March,4264
Diu,Shopping,"42, Central Plaza, Diu",November to April,2372
Patna,Sightseeing,"141, Old Town, Patna",October to February,5867
Diu,Adventure Sports,"73, Hill View Road, Diu",November to April,10259
Shillong,Temple Visit,"119, Garden Street, Shillong",November to March,2571
Leh,Beach Visit,"107, Cultural District, Leh",October to March,3409
Thiruvananthapuram,River Rafting,"52, Lake Side, Thiruvananthapuram",November to February,9142
Gangtok,Temple Visit,"82, Cultural District, Gangtok",November to March,1003
Pune,Cultural Tour,"9, Heritage Lane, Pune",October to March,7727
Jaipur,River Rafting,"105, Hill View Road, Jaipur",September to February,8487
Imphal,Trekking,"114, Market Road, Imphal",October to February,4204
Bengaluru,Adventure Sports,"88, Main Street, Bengaluru",December to March,7437
Pune,Adventure Sports,"149, Main Street, Pune",October to March,13824
Indore,Museum Visit,"51, Main Street, Indore",October to March,2114
Ahmedabad,Food Tasting,"136, Garden Street, Ahmedabad",November to February,2877
Daman,Historical Tour,"141, Hill View Road, Daman",November to April,5037
Varanasi,Cultural Tour,"80, Market Road, Varanasi",October to March,4146
Imphal,Trekking,"126, Old Town, Imphal",October to February,7569
Imphal,Historical Tour,"141, Cultural District, Imphal",November to March,3030
Nagpur,Adventure Sports,"106, Lake Side, Nagpur",October to March,12579
Kolkata,Trekking,"6, Temple Road, Kolkata",October to February,8635
Ahmedabad,Temple Visit,"127, Central Plaza, Ahmedabad",October to March,1578
Manali,Historical Tour,"18, Hill View Road, Manali",October to March,7688
Puri,Beach Visit,"125, Central Plaza, Puri",October to February,4281
Vijayawada,River Rafting,"92, Lake Side, Vijayawada",December to March,10081
Patna,Museum Visit,"33, Temple Road, Patna",November to March,1205
Port Blair,Trekking,"141, Market Road, Port Blair",November to April,6345
Indore,Temple Visit,"61, Old Town, Indore",October to March,3247
Chennai,Historical Tour,"136, Cultural District, Chennai",November to February,5468
Nagpur,Cultural Tour,"83, Lake Side, Nagpur",October to March,4403
Pune,Sightseeing,"41, Market Road, Pune",October to March,3312
Leh,Adventure Sports,"145, Lake Side, Leh",September to February,9311
Bhubaneswar,Historical Tour,"38, Heritage Lane, Bhubaneswar",November to March,6951
Vadodara,Beach Visit,"68, Cultural District, Vadodara",November to February,5462
Madurai,Beach Visit,"85, Riverfront Area, Madurai",December to March,5676
Lakshadweep,Temple Visit,"30, Heritage Lane, Lakshadweep",November to April,1200
Gangtok,Cultural Tour,"28, Beachside Promenade, Gangtok",October to February,6912
Thiruvananthapuram,Food Tasting,"90, Cultural District, Thiruvananthapuram",December to March,3627
Ahmedabad,Food Tasting,"84, Temple Road, Ahmedabad",November to February,1839
Kavaratti,Historical Tour,"69, Hill View Road, Kavaratti",November to April,5317
Agartala,Trekking,"32, Hill View Road, Agartala",October to February,4867
Daman,Historical Tour,"125, Riverfront Area, Daman",December to March,3051
Ahmedabad,Trekking,"103, Temple Road, Ahmedabad",October to March,5800
Agartala,Cultural Tour,"23, Main Street, Agartala",November to March,3928
Gangtok,Cultural Tour,"60, Beachside Promenade, Gangtok",October to February,7658
Surat,Cultural Tour,"85, Lake Side, Surat",October to March,7007
Darjeeling,Historical Tour,"136, Temple Road, Darjeeling",November to March,5289
Indore,Adventure Sports,"55, Main Street, Indore",October to March,12181
Udaipur,Cultural Tour,"13, Garden Street, Udaipur",October to March,4580
Manali,Cultural Tour,"88, Cultural District, Manali",October to March,7224
Kolkata,Adventure Sports,"133, Lake Side, Kolkata",October to February,13498
Shimla,Temple Visit,"14, Beachside Promenade, Shimla",October to March,2817
Chennai,Adventure Sports,"23, Old Town, Chennai",November to February,9946
Ahmedabad,Museum Visit,"115, Old Town, Ahmedabad",November to February,1256
Leh,Cultural Tour,"107, Riverfront Area, Leh",October to March,6405
Ahmedabad,Adventure Sports,"15, Garden Street, Ahmedabad",October to March,8187
Port Blair,Trekking,"18, Main Street, Port Blair",November to April,7694
Kolkata,Historical Tour,"23, Temple Road, Kolkata",October to February,5731
Hyderabad,River Rafting,"46, Central Plaza, Hyderabad",November to February,7632
Rishikesh,Cultural Tour,"140, Riverfront Area, Rishikesh",September to February,6964
Rishikesh,Museum Visit,"103, Garden Street, Rishikesh",October to March,2459
Agartala,Trekking,"9, Main Street, Agartala",October to February,4441
Hyderabad,Beach Visit,"109, Temple Road, Hyderabad",November to February,4881
Coimbatore,Shopping,"43, Central Plaza, Coimbatore",December to March,2274
Daman,Beach Visit,"142, Garden Street, Daman",December to March,4504
Leh,Sightseeing,"131, Market Road, Leh",September to February,5375
Vijayawada,Cultural Tour,"121, Old Town, Vijayawada",November to February,5657
Varanasi,Food Tasting,"27, Cultural District, Varanasi",September to February,1896
Mumbai,Museum Visit,"5, Central Plaza, Mumbai",October to March,1235
Jodhpur,River Rafting,"110, Temple Road, Jodhpur",October to March,6446
Port Blair,Temple Visit,"67, Cultural District, Port Blair",December to March,2462
Jodhpur,Beach Visit,"63, Market Road, Jodhpur",November to February,4498
Leh,Food Tasting,"9, Heritage Lane, Leh",September to February,3363
Manali,Trekking,"117, Garden Street, Manali",October to March,5466
Puri,Cultural Tour,"71, Riverfront Area, Puri",October to February,7367
Thiruvananthapuram,Cultural Tour,"83, Market Road, Thiruvananthapuram",December to March,4205
Ranchi,Beach Visit,"134, Cultural District, Ranchi",November to March,2790
Daman,Temple Visit,"81, Hill View Road, Daman",November to April,3238
Darjeeling,Wildlife Safari,"145, Market Road, Darjeeling",October to February,7363
Vadodara,Cultural Tour,"51, Main Street, Vadodara",October to March,5336
Diu,Temple Visit,"60, Riverfront Area, Diu",December to March,2727
Shillong,River Rafting,"136, Garden Street, Shillong",October to February,11130
Bengaluru,River Rafting,"145, Riverfront Area, Bengaluru",December to March,10491
Daman,Food Tasting,"11, Old Town, Daman",November to April,2438
Puri,Trekking,"125, Main Street, Puri",November to March,7695
Manali,Temple Visit,"56, Old Town, Manali",October to March,1138
Vadodara,River Rafting,"143, Hill View Road, Vadodara",November to February,9003
